"Format","PiBoSo CSV File"
"Venue","Circuit International d'Essay"
"Vehicle","CRG Mini60"
"User","Antoine Celles"
"Data Source","Kart Racing Pro"
"Comment",""
"Date","10/31/23"
"Time","18:37:43"
"Sample Rate","10"
"Duration","297.298"
"Segment","Session"
"Beacon Markers","64.470, 122.202, 178.989, 236.464, 293.384"

"Time","Distance","Engine","CylHeadTemp","WaterTemp","Gear","Speed","LatAcc","LonAcc","Steer","Throttle","Brake","FrontBrakes","Clutch","YawVel","PosX","PosY"
"s","m","rpm","C","C","","km/h","G","G","deg","%","%","%","%","deg/s","m","m"

"8.001","77.296","6219","105.556656","0.000000","0","40.512205","1.123148","0.392794","8.706735","100.000000","0.000000","0.000000","0.000000","39.540333","77.213730","118.914742"
"8.101","77.824","6154","105.561676","0.000000","0","41.853608","0.162064","0.343239","0.878966","100.000000","0.000000","0.000000","0.000000","-0.163876","77.631554","117.849068"
"8.201","78.380","6327","105.571877","0.000000","0","43.100883","0.036933","0.352200","1.575504","100.000000","0.000000","0.000000","0.000000","4.775632","78.041206","116.742172"
"8.301","78.972","6501","105.593864","0.000000","0","44.325542","0.135362","0.345198","3.432941","100.000000","0.000000","0.000000","0.000000","6.455624","78.456551","115.601242"
"8.401","79.599","6686","105.627312","0.000000","0","45.557017","0.197225","0.342854","3.792267","100.000000","0.000000","0.000000","0.000000","8.225196","78.869675","114.422882"
"8.501","80.264","6858","105.671532","0.000000","0","46.782920","0.201597","0.340903","3.792267","100.000000","0.000000","0.000000","0.000000","8.723570","79.276604","113.206276"
"8.601","80.969","7037","105.725677","0.000000","0","48.007315","0.197879","0.326656","3.770154","100.000000","0.000000","0.000000","0.000000","8.330255","79.675964","111.951118"
"8.701","81.716","7185","105.788551","0.000000","0","49.241042","0.156103","0.358516","3.930469","100.000000","0.000000","0.000000","0.000000","6.798853","80.068092","110.659027"
"8.801","82.509","7385","105.858398","0.000000","0","50.469430","0.323641","0.361618","4.151593","100.000000","0.000000","0.000000","0.000000","12.664603","80.449806","109.327896"
"8.901","83.349","7573","105.938515","0.000000","0","51.643841","0.157533","0.352017","3.864132","100.000000","0.000000","0.000000","0.000000","5.814986","80.815422","107.956406"
"9.001","84.241","7689","106.022514","0.000000","0","52.859962","0.218246","0.319519","3.930469","100.000000","0.000000","0.000000","0.000000","10.554284","81.170837","106.549080"
"9.101","85.188","7875","106.112091","0.000000","0","53.999533","0.234013","0.315558","3.930469","100.000000","0.000000","0.000000","0.000000","8.294488","81.512268","105.104485"
"9.201","86.193","8022","106.206215","0.000000","0","55.158477","0.242549","0.325703","3.930469","100.000000","0.000000","0.000000","0.000000","9.374742","81.837837","103.623352"
"9.301","87.260","8179","106.304131","0.000000","0","56.286142","0.189168","0.305890","3.930469","100.000000","0.000000","0.000000","0.000000","6.778406","82.146751","102.106728"
"9.401","88.390","8355","106.404823","0.000000","0","57.382701","0.328417","0.245885","3.974694","100.000000","0.000000","0.000000","0.000000","10.019151","82.437935","100.554405"
"9.501","89.585","8478","106.509079","0.000000","0","58.481364","0.181847","0.348816","3.974694","100.000000","0.000000","0.000000","0.000000","7.850848","82.707787","98.968109"
"9.601","90.849","8582","106.614250","0.000000","0","59.566086","0.246663","0.283388","4.085256","100.000000","0.000000","0.000000","0.000000","10.192086","82.961708","97.349251"
"9.701","92.182","8761","106.721230","0.000000","0","60.604053","0.391345","0.306425","5.793434","100.000000","0.000000","0.000000","0.000000","12.224521","83.194992","95.696823"
"9.801","93.580","8906","106.829773","0.000000","0","61.636679","0.400613","0.261914","6.622647","100.000000","0.000000","0.000000","0.000000","14.537316","83.394409","94.011261"
"9.901","95.042","9054","106.939148","0.000000","0","62.651074","0.465733","0.264132","5.478333","100.000000","0.000000","0.000000","0.000000","15.241316","83.555878","92.293068"
"10.001","96.565","9200","107.049362","0.000000","0","63.664295","0.357315","0.296121","3.123368","100.000000","0.000000","0.000000","0.000000","9.570898","83.676994","90.542946"
"10.101","98.150","9296","107.159912","0.000000","0","64.692382","0.114513","0.308403","0.901078","100.000000","0.000000","0.000000","0.000000","3.058823","83.770203","88.762901"
"10.201","99.791","9433","107.270439","0.000000","0","65.683109","0.078052","0.267690","1.304628","100.000000","0.000000","0.000000","0.000000","2.430772","83.852280","86.954269"
"10.301","101.475","9558","107.381149","0.000000","0","66.660507","0.104077","0.277513","1.437302","100.000000","0.000000","0.000000","0.000000","4.092723","83.926567","85.118385"
"10.401","103.187","9677","107.491997","0.000000","0","67.632667","0.095916","0.331709","1.481527","100.000000","0.000000","0.000000","0.000000","2.350419","83.990715","83.255417"
"10.501","104.934","9824","107.602631","0.000000","0","68.568853","0.206459","0.251921","2.338380","100.000000","0.000000","0.000000","0.000000","5.742419","84.044594","81.365379"
"10.601","106.841","9952","107.713638","0.000000","0","69.478713","0.226069","0.263440","3.460582","100.000000","0.000000","0.000000","0.000000","7.704003","84.080002","79.449669"
"10.701","108.775","10087","107.824509","0.000000","0","70.372499","0.313622","0.252058","3.482694","100.000000","0.000000","0.000000","0.000000","8.860791","84.090675","77.507828"
"10.801","110.736","10188","107.935303","0.000000","0","71.263779","0.274294","0.264358","3.482694","100.000000","0.000000","0.000000","0.000000","8.416943","84.071800","75.542091"
"10.901","112.724","10320","108.045609","0.000000","0","72.112624","0.320092","0.226856","3.432941","100.000000","0.000000","0.000000","0.000000","8.273582","84.023933","73.552238"
"11.001","114.736","10435","108.155220","0.000000","0","72.951924","0.297625","0.232574","3.079144","100.000000","0.000000","0.000000","0.000000","7.988225","83.945435","71.539841"
"11.101","116.772","10499","108.263931","0.000000","0","73.814097","0.207997","0.243507","2.670065","100.000000","0.000000","0.000000","0.000000","7.313780","83.838959","69.505730"
"11.201","118.832","10642","108.371567","0.000000","0","74.615625","0.194979","0.229256","1.459415","100.000000","0.000000","0.000000","0.000000","4.250818","83.708725","67.449608"
"11.301","120.914","10746","108.477737","0.000000","0","75.431669","0.080115","0.235302","0.585977","100.000000","0.000000","0.000000","0.000000","1.342780","83.560234","65.372292"
"11.401","123.019","10838","108.582588","0.000000","0","76.227532","0.054423","0.211897","0.541752","100.000000","0.000000","0.000000","0.000000","1.675594","83.401253","63.273388"
"11.501","125.146","10951","108.685532","0.000000","0","76.997770","-0.012086","0.225855","-0.398496","100.000000","0.000000","0.000000","0.000000","-0.635768","83.236107","61.153374"
"11.601","127.294","11039","108.786736","0.000000","0","77.761258","-0.013497","0.228848","0.000000","100.000000","0.000000","0.000000","0.000000","-0.388422","83.069397","59.012108"
"11.701","129.462","11151","108.885979","0.000000","0","78.486726","0.067004","0.201884","0.989527","100.000000","0.000000","0.000000","0.000000","2.812471","82.900269","56.850208"
"11.801","131.651","11242","108.982788","0.000000","0","79.214983","0.077994","0.215243","0.740764","100.000000","0.000000","0.000000","0.000000","1.866481","82.723282","54.668846"
