"Format","PiBoSo CSV File"
"Venue","Circuit International d'Essay - Short"
"Vehicle","CRG Mini60"
"User","Another Stig"
"Data Source","Kart Racing Pro"
"Comment",""
"Date","11/19/23"
"Time","16:57:27"
"Sample Rate","10"
"Duration","387.398"
"Segment","Session"
"Beacon Markers","46.014, 86.776, 127.575, 168.513, 209.304, 249.994, 290.632, 331.401, 379.036"

"Time","Distance","Engine","CylHeadTemp","WaterTemp","Gear","Speed","LatAcc","LonAcc","Steer","Throttle","Brake","FrontBrakes","Clutch","YawVel","PosX","PosY"
"s","m","rpm","C","C","","km/h","G","G","deg","%","%","%","%","deg/s","m","m"

"9.001","110.778","10196","113.517586","0.000000","0","71.320825","0.221628","0.238075","3.322380","100.000000","0.000000","0.000000","0.000000","6.692318","83.553368","75.532707"
"9.101","112.752","10331","113.594101","0.000000","0","72.167960","0.394608","0.225326","5.096895","100.000000","0.000000","0.000000","0.000000","12.075870","83.663712","73.543694"
"9.201","114.753","10464","113.670097","0.000000","0","72.972929","0.450587","0.225246","4.892356","100.000000","0.000000","0.000000","0.000000","12.639620","83.736916","71.530144"
"9.301","116.781","10515","113.745377","0.000000","0","73.826601","0.381832","0.238578","4.914468","100.000000","0.000000","0.000000","0.000000","12.068398","83.770416","69.492958"
"9.401","118.835","10670","113.819763","0.000000","0","74.591640","0.449749","0.214206","4.466693","100.000000","0.000000","0.000000","0.000000","11.384814","83.764252","67.432877"
"9.501","120.913","10761","113.892838","0.000000","0","75.405322","0.298132","0.234808","3.145481","100.000000","0.000000","0.000000","0.000000","6.737851","83.717072","65.351532"
"9.601","123.015","10845","113.964905","0.000000","0","76.188895","0.339752","0.211624","3.571143","100.000000","0.000000","0.000000","0.000000","9.124749","83.637794","63.249046"
"9.701","125.140","10964","114.035202","0.000000","0","76.938643","0.321511","0.234956","3.842020","100.000000","0.000000","0.000000","0.000000","8.555160","83.525490","61.126980"
"9.801","127.285","11045","114.103981","0.000000","0","77.689263","0.343901","0.216956","3.842020","100.000000","0.000000","0.000000","0.000000","8.805188","83.379402","58.986057"
"9.901","129.452","11165","114.170998","0.000000","0","78.397717","0.335687","0.199154","2.940942","100.000000","0.000000","0.000000","0.000000","7.830876","83.197952","56.827423"
"10.001","131.638","11233","114.235939","0.000000","0","79.144835","0.107903","0.216525","-0.240189","100.000000","0.000000","0.000000","0.000000","0.747620","82.987755","54.651245"
